"filename", "language", "TypeScript", "Markdown", "Ignore", "JavaScript", "JSON", "JSON with Comments", "YAML", "PostCSS", "HTML", "vue", "comment", "blank", "total"
"k:\AiChat\novel2ST\NovelToST\GEMINI.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"k:\AiChat\novel2ST\NovelToST\README.md", "Markdown", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 133
"k:\AiChat\novel2ST\NovelToST\auto-imports.zod.d.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 15
"k:\AiChat\novel2ST\NovelToST\dist\前端界面示例\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 136, 0, 0, 8, 144
"k:\AiChat\novel2ST\NovelToST\dist\流式楼层界面示例\index.js", "JavaScript", 0, 0, 0, 249, 0, 0, 0, 0, 0, 0, 0, 13, 262
"k:\AiChat\novel2ST\NovelToST\dist\脚本示例\index.js", "JavaScript", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 10, 132
"k:\AiChat\novel2ST\NovelToST\dist\角色卡示例\界面\状态栏\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 254, 0, 0, 11, 265
"k:\AiChat\novel2ST\NovelToST\dist\角色卡示例\脚本\MVU\index.js", "JavaScript", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 5, 44
"k:\AiChat\novel2ST\NovelToST\dist\角色卡示例\脚本\变量结构\index.js", "JavaScript", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 8, 77
"k:\AiChat\novel2ST\NovelToST\dist\角色卡示例\脚本\立即事件\index.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"k:\AiChat\novel2ST\NovelToST\docs\CI-CD规划.md", "Markdown", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 87
